Sentence,Joy,Sadness,Anticipation,Surprise,Anger,Fear,Disgust,Trust,clusters
六本木なう(*･ω･)ﾉwithスンちゃん、ちえ☆ [USER] [USER],0.5321204932082731,0.0,0.1087615666212452,0.005823855770120812,0.0,0.0,0.0,0.12703970763290293,1
[USER] 私初段からやばくてなっちゃんにのんでもらってた!!なっちゃんごめん大丈夫?まあ大丈夫か!!,0.6909481722989427,0.03074236295247941,0.2615415472555981,0.36806706520214516,0.0,0.2323496298909022,0.0,0.31839759769122983,1
[USER] さん 僕のほぼメインのヨーヨーは フェノム プロト ジェネシス＋  LOOP900などなど... [URL],0.0,0.0,0.2652118108520552,0.12009569136231144,0.0,0.0,0.0,0.008071496663537443,6
今から、娘と、みなとみらいホールへ、“楽器ものしりコンサート”に行きます。 久々に少しオシャレしちゃったけど、 (>_<)雨降りです(>_<) ついてない,0.39417573898656505,0.4096318767889509,0.25569729770203686,0.0,0.0,0.0,0.09215937644668763,0.08169982664242165,6
大塚ばりキモい(笑)  食い物ねだってくる(>_<) さすがでぶ,0.062225244175248724,0.10125011891201047,0.0,0.19688541249392152,0.017841010421815667,0.21114689998259356,0.5316703971122269,0.0656732972290784,5
[USER] 10件目から帰署(；´Д`A忙しいバイ♪(´ε｀ ),0.33507205371266396,0.05985676432597123,0.0,0.0009690067943575289,0.0,0.10894632477398367,0.0,0.04579247170640058,0
busy？ or not busy？ I could not understand today‘s work…,0.005016228484427928,0.17454892053903415,0.09316698659859211,0.03398174677057316,0.025462775198575576,0.0,0.025735004173408828,0.0,6
[USER] おおおぉぉ‼ご近所♪( ´▽｀) よろしく〜( ´ ▽ ` )ﾉ ヨークベニマルで会うかもね（笑）,0.758161439446127,0.0,0.545294994776895,0.021952457687100982,0.0,0.0,0.0,0.27589493250578323,2
今日の収穫：珍宝島が実在して、その領有権をめぐって、中ソ間で武力衝突があったということを知った。,0.08216497024564867,0.0,0.0,0.5425329167695747,0.0,0.10829311403129065,0.0,0.07763547692037112,6
韓流ブームって何ですか？ どこで起きてるのですか？ ふと新大久保で考えてみた。,0.0,0.0,0.31071941681838966,0.15553704670092577,0.0,0.04831398228334232,0.0,0.0,4
居酒屋なう。 特製サラダたのんだら、予想外のがきた‼‼‼‼ う、う、 うどん？(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;)))(((;꒪ꈊ꒪;))) [URL],0.33858293871031564,0.2356182671862041,0.12081398372541743,0.48878107402468424,0.0,0.07666057912123983,0.13080405650126764,0.0,6
[USER] あれ、イマココで地図つけたんですが載ってないのかな…(￣◇￣;)とちの実橋です！,0.16778887290406283,0.12286168225875363,0.22770932477106332,0.368045601039011,0.0,0.08074244600861269,0.0,0.0,6
千葉交通京成バス 東京駅八重洲口前バス停(銚子・佐原・TDR方面)にタッチ！ [URL],0.4105770218163612,0.0,0.27570739713959175,0.0,0.0,0.0,0.0,0.0,-1
寒い中こごえながらワックスしなければならんとしたら多分ワックスしないと思うブ━━━━∵;（;:゜:鑾;゜;，）;:∵━━━ッ!!,0.0,0.13870552050437135,0.08688159725089994,0.20214849805427967,0.22108906540455123,0.24054840984783574,0.28906076153202753,0.0,5
とりあえず終了♪ 木津かおり姉さん、ミカド雅峰君と。あとは夜の野毛チャリティに参戦だ…(；´Д`A [URL],0.4810495820724285,0.11612092785967917,0.5840592202561778,0.0,0.0,0.0,0.0,0.015413261950584652,-1
レーティング差2で301で60点とクリケットブル以外オール1マークはキツイよ(´;ω;`),0.0,0.5348605484273152,0.0,0.11466560167768103,0.0,0.032764385109858,0.10406588166627147,0.0,5
イギリスの巨大な人工太陽には    驚いた。  太陽まで作ってしまう なんて〜。これが本物の太陽のように 地球の生物のすべてに愛を注ぐならば それは、現代のおとぎ話しです。       (太陽がいっぱい）のメロディが ふと、浮かんだー。,0.42936679338232764,0.0,0.28321229600837516,0.6526530473654659,0.0,0.0,0.005402576933382647,0.0,-1
[USER] 原発はもういりません だって電力たりてんじゃん！ 東電の努力と国民の節電での成果と言うならこれからもそうすれば良いんじゃない ただ単に #火力発電や他の発電に比べて 原発の方が儲かるだけなんじゃないの,0.0,0.07394947790238504,0.2544316804640609,0.13833830997404492,0.12790417698287057,0.092169155245142,0.3134463454227563,0.0,5
ヤバス！スマホのアプリをDLしたは良いけど、使いこなせてねぇ！！twitrerも使用方法分かりましぇん泣,0.12518841838165304,0.46338881457079795,0.11570269662941422,0.12240230066724848,0.0,0.07108010077392984,0.05101258363103069,0.10427294106945931,5
帰り道。 ♫ Lost and Found (Shinichi Osawa Remix) by Popular Computer (at 三角公園) — [URL],0.2242545678179618,0.006929303085769624,0.22473853412137534,0.0,0.0,0.0,0.0,0.045342266065721594,6
御在所ロープウェイなう。前回お休みだったので今日はリベンジ。  [URL],0.3636455953519196,0.0,0.4320470518794854,0.0,0.0,0.0,0.0,0.0,-1
[USER] おはようございます。あと200km ぐらいです。かたいたまー！,0.3956086726080357,0.0,0.2135528141868349,0.034575553247899744,0.0,0.0,0.0,0.16164390392484207,0
昨日はモーニング娘。の福岡コンサート行ってきました＼(^o^)／めっちゃ盛り上がった！やっぱ娘。は歌もダンスも上手い！その中で圧倒されたのは鞘師ちゃん。恋愛ハンターの鞘師ちゃんカッコ良かったです＼(^o^)／,0.8544824439408046,0.0,0.21983950291536394,0.25016575103753563,0.0,0.0,0.0,0.48246266155635686,1
今夜は酒無しだからここに決めた(￣0￣)俺のジャンヌじゃないけど...... [URL],0.16436674815659535,0.0527008227804753,0.32523461742208204,0.0,0.0,0.0708039376230727,0.03598347779581477,0.03993297350474006,4
みつって所に入ってから町の過疎っぷりがやばいwもう村だわこれ…それにしてもローソンが凄く綺麗に見えるのは俺だけかw,0.014699491256117702,0.3253436744288066,0.05183420497424098,0.5122550265957554,0.0,0.21253551652374914,0.1745014926125018,0.0,-1
美味しき鶏肉が食べたくてドライブがてら買いにきちゃった。ここのはとっても美味しい！さて、渋滞に引っ掛からないようにどこを通って帰ろうかな？来る時は混まなかったから帰りもそうだったらいいのにな。 [URL],0.4111591035940623,0.0,0.572777061900148,0.0,0.0,0.0,0.0,0.0,3
[USER] 参加するからには生にもチャレンジして頂きましょうよ！,0.22168614527554137,0.0,0.7957561734598704,0.0,0.0,0.0,0.0,0.1300451638137924,2
イーストンズの舞台面白がったです。 千秋楽の日にはまだ若干席が空いているそうなのでお時間のある方はぜひ！[URL],0.4239249596407845,0.0022064907997767615,0.6107402190934756,0.0,0.0,0.0,0.0,0.03679937307589408,3
ヌーボーと共にいかが？RT“[USER] 「しし座流星群」11月17日深夜から18日早朝にピーク　ほぼ全国で観測可能 - はてなブックマークニュース (88 users) [URL] #fb,0.24635860646065166,0.0,0.47194839801366906,0.06424571151275459,0.0,0.024677203726114667,0.0,0.11355065867864192,-1
明日は今年初のゴルフ！練習もしてないのに大丈夫かなぁ(^_^;),0.1870580372321031,0.0,0.22144900941295842,0.0,0.0,0.4272464583662828,0.0,0.0,6
やっぱり盲腸でした。。(>_<) お騒がせしております。 親指さんは元気ですのでまたぶろぐの方も_φ(._.カキカキします！ おやすみなさい(｡-_-｡),0.06907969321295535,0.4749463920618243,0.13353264820230254,0.0,0.0,0.13378363821663614,0.06554603474047994,0.13351047121361576,5
試食チョコ食べすぎて吐き気が...( ´△`) 猪野さん野々花ゆきのちゃんおつかれさま [URL],0.1673184682812177,0.35748106885326575,0.13883064008230928,9.916627794029618e-05,0.0,0.09043833653879393,0.20039334703913797,0.0,5
夢見るマイメロディ展 [URL] [URL] [URL] [URL] [URL],0.20652266033415204,0.0,0.309741673344266,0.0,0.0,0.0,0.0,0.0,-1
[USER] 返信ありがとうございます(^^)仙台まで行ってきます。行きは高速バスで、帰りは電車の予定です！仙台始めてなのでわくわく！,0.6438433298543723,0.0,0.7004787487482294,0.0,0.0,0.0,0.0,0.17461201904830723,2
[USER] ってか、ろっきゅうおにぎりはどこにあるのかしら(笑),0.023434478023220486,0.011211712992631672,0.3197452003511252,0.20379410410563764,0.0,0.017550452401663405,0.0,0.0,4
なんと。「イグジット・スルー・ザ・ギフトショップ」が今日からセンチュリーシネマで公開とな。「ツリーオブライフ」も「スーパー！」も後回しだ。とにかくまずはこれを観なきゃ。#BANKSY_car [URL],0.32219427347977503,0.0,0.5773415837519573,0.1479120745416835,0.0,0.0,0.0,0.08570916353313039,-1
[USER] じかに、ロックシティで、見ると、すごいな。あんまき。 [URL],0.17629189964569628,0.0,0.034455965891902696,0.5278343710373659,0.0,0.0,0.0,0.007596348926096075,6
がむしゃらを知ってて当然みたいに書いてますけど、いまここ。 34.645315,0.0,0.2716617487470201,0.0,0.19362308201937758,0.025226606034244335,0.14762452847302504,0.1546213880036861,0.08666500149450193,5
不滅のシンボル 鳳凰と獅子  父上ありがとうございます (@ サントリー美術館 (Suntory Museum of Art)) [URL],0.4778340705127693,0.0,0.18990603202632678,0.04660428147400186,0.0,0.0,0.0,0.1929251131970504,-1
[USER] どこも行ってない！お店に10時半くらいまでいてそのあと外で１時間喋ってた！あのあとどっか行ったー？,0.0,0.24812727868711368,0.0,0.41197526487626174,0.0016648314887334707,0.03652379557380293,0.030851330344634095,0.0,6
捕まってよかった!!  脱走の男確保 逃走容疑で逮捕  #yjfc_hiroshima_prison,0.6529701866652193,0.030313109805813424,0.1140239067395392,0.14281837801261252,0.12308102275770912,0.010599229536547601,0.06010286301925497,0.0,1
[USER] お肌つやつや…感動した！肌弱いから心配してたんだけどすごくいいコンディショナーとか使ったから平気だったし！,0.6946719602816218,0.013732726429550916,0.099903118976913,0.3604971278039331,0.0,0.0,0.0,0.23575288918648568,1
[USER] 厚揚げ焼き、ｷｬﾍﾞﾂｻﾗﾀﾞ、ﾁｮﾘｿｰ、ﾋﾟｰﾏﾝと玉ねぎをﾁﾝして塩ｺｼｮｳしたやつ、ｺﾛｯｹ…みたいな感じｰ(o´▽｀o),0.4013452337056817,0.0,0.3107965269499301,0.04562776310678199,0.0,0.0,0.004752138166323125,0.08019102877145669,-1
